0006888,0007275,0043090
0006665,0006665,0016125,0016125
0006355,0006355,0006355,0009908,0048366
0000226,0000226,0000278,0000911,0006306,0006306,0006306,0006342,0006342,0006342,0006396,0006396,0006396,0006396,0007267,0009616,0009616,0009616,0009616,0009630,0009880,0009908,0010050,0010098,0010228,0010267,0010267,0010267,0010267,0010599,0010599,0016569,0016569,0030422,0030422,0031047,0031047,0031053,0031053,0035196,0035196,0035196,0035196,0035279,0035279,0051607,0051607,2000034
0000394,0000394,0008152,0009086,0009086,0019915
0006355,0006355,0006355,0006355,0006355,0006355,0007623,0007623,0009409,0009409,0009639,0009651,0009651,0009651,0009651,0009723,0009723,0009733,0009733,0009737,0009737,0009739,0009739,0009751,0009751,0009753,0009753,0042752,0042752,0042752,0042754,0043433,0043433,0043433,0046686,0048574,0048574,0048574,0048574
0006655,0006655,0008150,0010103,0019288,0019288
0008152
0006414,0006414,0006414,0009664,0009664,0042545,0042545
0000038,0000038,0000038,0000038,0009409,0009409,0009409,0009409,0009416,0009611,0009805,0009805,0010025,0010025,0030497,0030497,0042335,0042335
0009409,0009409,0009611,0009651,0009651,0010555,0043266,0051365,0051365,0055075
0000278,0000956,0000956,0006355,0006355,0006355,0006396,0006396,0008283,0009410,0010048,0010048,0043687,0043687,0043687,0045893,0045893,0045893,0048366,0048522
0006354,0006354,0006354,0006355,0006355,0006355
0030244,0030244,0042352,0042352,0048193
0010089,0044036,0044036
0006457,0006457,0006457,0006661,0006661,0010286,0010286
0006355,0006355,0006355,0009409,0009409,0009414,0009414,0009737
0006355,0006355,0006355,0009694,0009694,0009753
0006777,0006777,0006777
0006508,0009664,0009664,0042545,0042545,0080167
0016556,0016556
0009738,0009738
0000911,0006270,0006270,0006270,0006275,0006275,0006275,0006346,0006346,0006346,0006346,0008283,0009567,0009909,0010389,0016458,0016458,0031048,0031048,0031048,0034968,0034968,0034968,0034968,0048451,0048453,0051301,0051307,0051307,0051567,0051567,0051567,0051567,0051726
0001708,0006355,0006355,0006355,0009913
0009269,0009269,0009409,0009409,0009414,0009414,0009611,0009644,0009737,0009793,0010286,0010286,0050832,0050832
0009693,0009693,0009693,0009693,0009693,0009693,0009693,0009693
0000226,0000226,0006342,0006342,0006342,0007155,0008360,0008360,0008360,0008360,0009965,0009965,0010090,0010090,0010091,0010091,0010482,0016572,0016572,0016572,0016572,0031129,0042814,0042814,0045010,0045010,0045604,0045604,0048444,0048530,0051225,0051225,0051567,0051567,0051567,0051567,2000039,2000039,2000039
0006355,0006355,0006355,0009651,0009651
0046777,0046777,0046777
0006623,0048364,0048367
0000165,0000165,0000165,0006355,0006355,0006355,0006612,0006612,0006612,0007154,0007165,0007165,0009409,0009409,0009414,0009414,0009581,0009595,0009611,0009617,0009627,0009627,0009697,0009697,0009723,0009733,0009737,0009738,0009738,0009753,0009814,0009814,0009862,0009862,0009862,0009862,0009863,0009863,0009867,0009867,0010310,0010310,0010363,0010363,0030968,0030968,0030968,0031348,0035304,0035304,0035304,0042538,0042538,0043069,0045087,0050832,0050832
0009617,0009735,0015688,0055072
0006631,0006631
0000038,0000038,0000271,0006655,0006655,0007389,0008152,0008361,0008361,0009825,0009926,0009932,0009932,0010015,0010143,0010817,0040007,0042335,0043481,0048767,0048767,0071555,0071555
