3.698630136986301165e-01,2.967032967032967039e-01,3.292682926829268442e-01,3.647058823529412130e-01,9.080361149081940253e-01,3.698630136986301165e-01,2.967032967032967039e-01,3.292682926829268442e-01,3.647058823529412130e-01,9.080361149081940253e-01
5.200000000000000178e-01,1.756756756756756854e-01,2.626262626262626521e-01,4.878048780487805325e-01,6.309661601781801910e-01,4.449315068493150394e-01,2.361894861894862085e-01,2.959472776545947204e-01,4.262553802008608450e-01,7.695011375431870526e-01
4.428571428571428381e-01,3.690476190476190688e-01,4.025974025974025650e-01,4.907407407407408106e-01,9.514193676038467107e-01,4.442400521852576389e-01,2.804755304755304768e-01,3.314973193021973352e-01,4.477505003808208706e-01,8.301405475634068276e-01
1.000000000000000000e+00,1.282051282051282007e-02,2.531645569620253125e-02,1.000000000000000000e+00,1.132485459266228955e-01,5.831800391389432292e-01,2.135617760617760652e-01,2.549521034006986264e-01,5.858128752856156529e-01,6.509175471542109070e-01
3.880597014925373234e-01,3.023255813953488191e-01,3.398692810457516478e-01,3.513513513513513709e-01,8.931433164225697219e-01,5.441559716096620036e-01,2.313145371284906493e-01,2.719355389297092307e-01,5.389205704987627410e-01,6.993627010078826700e-01
7.272727272727272929e-01,2.191780821917808098e-01,3.368421052631578871e-01,5.625000000000001110e-01,5.204229840087514214e-01,5.746754308868395889e-01,2.292917946390390094e-01,2.827532999852840345e-01,5.428504754156356915e-01,6.695394148413608137e-01
4.413793103448275801e-01,7.529411764705882248e-01,5.565217391304347894e-01,6.044776119402984760e-01,9.404549534413089162e-01,5.556331279522664923e-01,3.040988491864031751e-01,3.218630770060198487e-01,5.516543520620160734e-01,7.082416346413534791e-01
2.926829268292682751e-01,1.395348837209302306e-01,1.889763779527559029e-01,2.999999999999999889e-01,7.914083389318595785e-01,5.227643528118917082e-01,2.835283535032190327e-01,3.052522396243618763e-01,5.201975580542640420e-01,7.186374726776667554e-01
5.686274509803921351e-01,4.142857142857143127e-01,4.793388429752065694e-01,5.714285714285715079e-01,7.508420138408035127e-01,5.278602526083917557e-01,2.980569491457185083e-01,3.245951955522334842e-01,5.258898928736315259e-01,7.222157550291263828e-01
4.558823529411764608e-01,7.294117647058823151e-01,5.610859728506787381e-01,5.877551020408163795e-01,9.275536700324964468e-01,5.206624626416702650e-01,3.411924307017348834e-01,3.482442732820779652e-01,5.320764137903499780e-01,7.427495465294634558e-01
